length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
27,34177,182,260.0,243.0,4.0,683.0,5136.0,661.0,2123.0,12664.0,5504.0,4914.0,7.0,4580.0,ipynb
31,24762,172,244.0,240.0,25.0,620.0,3733.0,609.0,2005.0,10388.0,3237.0,1902.0,6.0,4195.0,ipynb
19,25514,178,200.0,240.0,4.0,686.0,4069.0,648.0,2058.0,10333.0,3395.0,1967.0,6.0,4436.0,ipynb
15,31461,168,188.0,326.0,4.0,1240.0,4324.0,547.0,2582.0,13420.0,4993.0,2511.0,3.0,4284.0,ipynb
27,24632,172,194.0,227.0,4.0,642.0,3821.0,619.0,1996.0,10146.0,3225.0,1944.0,7.0,4250.0,ipynb
8,209781,196,136.0,257.0,7.0,585.0,9271.0,714.0,2245.0,84397.0,78767.0,30025.0,393.0,5747.0,ipynb
18,221547,224,250.0,284.0,7.0,935.0,12478.0,973.0,2996.0,89259.0,78176.0,31723.0,398.0,7813.0,ipynb
22,214261,198,182.0,256.0,7.0,725.0,11021.0,811.0,2406.0,86000.0,77811.0,31216.0,393.0,6452.0,ipynb
14,217452,212,392.0,347.0,397.0,876.0,13121.0,898.0,3111.0,87510.0,71539.0,34544.0,416.0,8098.0,ipynb
27,205812,234,872.0,596.0,360.0,1155.0,15459.0,1016.0,3851.0,87063.0,59124.0,31060.0,418.0,9471.0,ipynb
23,215894,204,176.0,271.0,7.0,727.0,10638.0,824.0,2473.0,86790.0,78423.0,31746.0,393.0,6519.0,ipynb
20,42825,174,371.0,297.0,268.0,778.0,7524.0,761.0,2703.0,17069.0,1496.0,7322.0,410.0,7116.0,ipynb
25,207525,198,172.0,257.0,7.0,735.0,10326.0,833.0,2472.0,83243.0,75535.0,30141.0,393.0,6518.0,ipynb
21,217942,266,222.0,344.0,7.0,831.0,11115.0,951.0,2761.0,86722.0,78923.0,31869.0,395.0,7248.0,ipynb
19,167196,206,255.0,296.0,81.0,796.0,9517.0,858.0,2633.0,67239.0,57297.0,24194.0,408.0,6907.0,ipynb
28,214107,204,194.0,269.0,7.0,748.0,10506.0,837.0,2548.0,85451.0,78214.0,31477.0,393.0,6644.0,ipynb
21,5206,48,54.0,64.0,3.0,142.0,1007.0,182.0,489.0,2670.0,162.0,89.0,6.0,961.0,ipynb
8,2614,24,14.0,41.0,3.0,68.0,504.0,88.0,253.0,1347.0,127.0,31.0,0.0,455.0,ipynb
14,13445,68,258.0,103.0,3.0,431.0,2450.0,407.0,1242.0,6145.0,278.0,595.0,1.0,3113.0,ipynb
13,8142,26,50.0,57.0,132.0,219.0,1717.0,103.0,427.0,3000.0,58.0,2041.0,13.0,829.0,ipynb
15,3275,26,18.0,45.0,3.0,84.0,662.0,118.0,329.0,1646.0,133.0,55.0,6.0,597.0,ipynb
32,5206,48,54.0,64.0,3.0,142.0,1007.0,182.0,489.0,2670.0,162.0,89.0,6.0,961.0,ipynb
19,2614,24,14.0,41.0,3.0,68.0,504.0,88.0,253.0,1347.0,127.0,31.0,0.0,455.0,ipynb
26,3275,26,18.0,45.0,3.0,84.0,662.0,118.0,329.0,1646.0,133.0,55.0,6.0,597.0,ipynb
28,8745,36,70.0,61.0,24.0,249.0,2141.0,213.0,584.0,3258.0,190.0,1216.0,11.0,1489.0,ipynb
22,5850,32,52.0,56.0,24.0,134.0,1181.0,169.0,486.0,2831.0,177.0,343.0,11.0,1009.0,ipynb
28,34692,74,199.0,138.0,158.0,418.0,8201.0,357.0,1695.0,8538.0,455.0,8697.0,16.0,7798.0,ipynb
28,5794,34,50.0,54.0,3.0,170.0,1383.0,178.0,480.0,2589.0,168.0,276.0,6.0,1061.0,ipynb
15,39991,68,186.0,117.0,25.0,359.0,3090.0,339.0,1149.0,17450.0,10814.0,5278.0,19.0,2585.0,ipynb
25,4927,32,46.0,52.0,3.0,135.0,968.0,164.0,458.0,2475.0,171.0,81.0,6.0,958.0,ipynb
23,18708,38,186.0,98.0,24.0,364.0,4181.0,310.0,1282.0,4161.0,282.0,4249.0,73.0,5052.0,ipynb
15,19150,66,54.0,91.0,7.0,399.0,4553.0,456.0,1202.0,4754.0,201.0,2976.0,558.0,5491.0,ipynb
15,7024,54,86.0,80.0,23.0,199.0,1436.0,249.0,655.0,3359.0,186.0,143.0,7.0,1451.0,ipynb
15,23183,78,66.0,102.0,11.0,557.0,3498.0,627.0,1600.0,5772.0,229.0,4138.0,1030.0,7702.0,ipynb
15,54906,62,130.0,92.0,3.0,407.0,5478.0,353.0,1240.0,19406.0,14666.0,9698.0,9.0,4955.0,ipynb
15,13851,36,48.0,57.0,3.0,231.0,3410.0,209.0,828.0,2854.0,184.0,3307.0,6.0,3715.0,ipynb
15,59282,84,328.0,163.0,3.0,611.0,6370.0,557.0,1963.0,21013.0,13874.0,9821.0,72.0,6943.0,ipynb
27,7349,46,118.0,84.0,3.0,207.0,1351.0,241.0,671.0,3593.0,260.0,188.0,18.0,1481.0,ipynb
28,6761,34,70.0,64.0,3.0,166.0,1186.0,192.0,645.0,2925.0,934.0,167.0,7.0,1205.0,ipynb
15,11281,96,80.0,147.0,3.0,433.0,2371.0,368.0,1191.0,4435.0,194.0,1157.0,6.0,2359.0,ipynb
24,15096,108,134.0,163.0,3.0,578.0,3443.0,467.0,1446.0,5621.0,220.0,1589.0,6.0,3231.0,ipynb
18,12811,98,130.0,150.0,3.0,472.0,2618.0,402.0,1330.0,5277.0,223.0,1159.0,6.0,2675.0,ipynb
28,13196,104,138.0,159.0,6.0,455.0,2721.0,422.0,1333.0,5715.0,234.0,912.0,6.0,2746.0,ipynb
19,13716,108,140.0,166.0,11.0,449.0,2793.0,437.0,1390.0,5903.0,241.0,1018.0,10.0,2877.0,ipynb
28,21342,130,192.0,197.0,3.0,646.0,4488.0,601.0,2077.0,7966.0,340.0,2933.0,6.0,4441.0,ipynb
8,13896,116,144.0,172.0,4.0,449.0,2797.0,440.0,1475.0,6104.0,239.0,958.0,8.0,2905.0,ipynb
25,13261,108,140.0,162.0,3.0,437.0,2732.0,433.0,1358.0,5675.0,239.0,928.0,6.0,2831.0,ipynb
19,20380,116,148.0,173.0,7.0,618.0,3788.0,620.0,1772.0,6824.0,247.0,2454.0,474.0,5531.0,ipynb
37,47878,102,128.0,152.0,3.0,1889.0,12880.0,884.0,2782.0,5969.0,231.0,14626.0,6.0,11892.0,ipynb
19,20140,114,138.0,165.0,7.0,594.0,3661.0,586.0,1756.0,6789.0,262.0,2484.0,434.0,5492.0,ipynb
15,18047,118,174.0,174.0,3.0,738.0,3840.0,571.0,1699.0,5978.0,225.0,2814.0,10.0,3973.0,ipynb
15,13219,104,152.0,154.0,2.0,446.0,2661.0,431.0,1408.0,5703.0,179.0,894.0,6.0,2918.0,ipynb
13,13486566,544,696.0,593.0,56.0,1664.0,494155.0,1886.0,4531.0,5376305.0,5368859.0,2226599.0,1002.0,16093.0,ipynb
23,114902,154,1468.0,879.0,190.0,1000.0,12728.0,936.0,4837.0,59581.0,19030.0,11133.0,34.0,8705.0,ipynb
28,16107,72,346.0,228.0,3.0,396.0,2996.0,445.0,1579.0,8413.0,230.0,184.0,1.0,3238.0,ipynb
18,23195,88,530.0,286.0,3.0,634.0,4155.0,643.0,2302.0,11821.0,390.0,330.0,1.0,4957.0,ipynb
20,19738,66,158.0,86.0,3.0,249.0,2099.0,265.0,723.0,8623.0,4896.0,1771.0,4.0,1783.0,ipynb
22,4449,36,112.0,68.0,0.0,152.0,842.0,157.0,408.0,2060.0,37.0,136.0,0.0,1006.0,ipynb
30,6973,50,184.0,89.0,0.0,247.0,1270.0,235.0,614.0,3235.0,63.0,306.0,0.0,1529.0,ipynb
16,122227,84,426.0,290.0,66.0,848.0,8232.0,783.0,2647.0,46365.0,37475.0,19615.0,18.0,8808.0,ipynb
28,21142,66,322.0,130.0,213.0,431.0,3559.0,365.0,1304.0,8799.0,187.0,3066.0,13.0,4356.0,ipynb
27,21871,54,310.0,132.0,0.0,653.0,3697.0,599.0,1699.0,8215.0,1288.0,1258.0,4.0,6260.0,ipynb
24,18869,60,316.0,133.0,0.0,513.0,3296.0,446.0,1463.0,8829.0,140.0,312.0,4.0,5266.0,ipynb
20,22607,104,224.0,136.0,3.0,452.0,4447.0,495.0,1211.0,8291.0,2397.0,3252.0,2.0,3299.0,ipynb
21,72754,118,711.0,339.0,151.0,1525.0,7594.0,615.0,2954.0,29384.0,9687.0,17122.0,20.0,6103.0,ipynb
10,780,0,0.0,3.0,3.0,0.0,237.0,1.0,9.0,285.0,59.0,181.0,2.0,10.0,ipynb
8,10467,68,202.0,107.0,0.0,392.0,1895.0,326.0,948.0,4651.0,158.0,503.0,2.0,2489.0,ipynb
23,378261,226,186.0,295.0,0.0,564.0,15340.0,722.0,1720.0,153685.0,144974.0,57993.0,57.0,4941.0,ipynb
19,31963,98,116.0,522.0,0.0,529.0,7396.0,535.0,2773.0,10331.0,2680.0,5311.0,2.0,4978.0,ipynb
15,363257,274,344.0,353.0,12.0,2367.0,23237.0,2528.0,6826.0,131630.0,111520.0,58420.0,5081.0,30019.0,ipynb
22,10453,54,260.0,82.0,2.0,385.0,2087.0,321.0,912.0,4827.0,158.0,372.0,1.0,2225.0,ipynb
9,35319,48,272.0,85.0,0.0,477.0,3237.0,369.0,1097.0,14884.0,9250.0,3835.0,4.0,3227.0,ipynb
20,15244,88,52.0,106.0,0.0,209.0,1795.0,247.0,684.0,6161.0,3799.0,1535.0,4.0,1495.0,ipynb
9,57611,76,348.0,133.0,4.0,1713.0,9958.0,1601.0,4506.0,12457.0,302.0,8932.0,3502.0,20186.0,ipynb
9,80658,70,98.0,91.0,2.0,211.0,3963.0,257.0,637.0,32278.0,30833.0,11485.0,16.0,1611.0,ipynb
7,121,0,8.0,0.0,0.0,7.0,22.0,9.0,24.0,57.0,0.0,3.0,0.0,15.0,ipynb
13,222198,334,355.0,384.0,44.0,1745.0,15641.0,1953.0,5052.0,78731.0,70400.0,27821.0,2889.0,23854.0,ipynb
19,15073,72,232.0,154.0,0.0,461.0,2525.0,353.0,1133.0,8393.0,385.0,309.0,9.0,2533.0,ipynb
23,383363,238,186.0,319.0,0.0,584.0,15190.0,752.0,1828.0,155946.0,146795.0,58899.0,57.0,5149.0,ipynb
46,408047,866,669.0,1477.0,22.0,2317.0,30260.0,3258.0,8521.0,167798.0,121858.0,57704.0,1629.0,23447.0,ipynb
22,289053,384,496.0,446.0,136.0,2315.0,20045.0,2436.0,6548.0,102883.0,89922.0,36573.0,4126.0,31727.0,ipynb
24,254015,344,347.0,390.0,9.0,2614.0,20549.0,2826.0,7451.0,82964.0,70633.0,29990.0,5740.0,40435.0,ipynb
34,383363,238,186.0,319.0,0.0,584.0,15190.0,752.0,1828.0,155946.0,146795.0,58899.0,57.0,5149.0,ipynb
23,383363,238,186.0,319.0,0.0,584.0,15190.0,752.0,1828.0,155946.0,146795.0,58899.0,57.0,5149.0,ipynb
46,408047,866,669.0,1477.0,22.0,2317.0,30260.0,3258.0,8521.0,167798.0,121858.0,57704.0,1629.0,23447.0,ipynb
21,236148,140,115.0,164.0,8.0,1201.0,13469.0,1277.0,3438.0,87620.0,77440.0,36688.0,2602.0,16701.0,ipynb
34,391853,234,204.0,306.0,0.0,582.0,15394.0,741.0,1773.0,159632.0,149700.0,60674.0,57.0,5070.0,ipynb
